region,number_of_examinations,examinations_per_1000,examinations_per_10000,examinations_per_100000
BG-01,1282536,4489,44899,448998
BG-02,1705871,4357,43572,435726
BG-03,2060531,4677,46773,467736
BG-04,925923,4657,46574,465749
BG-05,347634,5004,50044,500444
BG-06,657892,4552,45528,455282
BG-07,450578,4859,48594,485945
BG-08,588434,4090,40903,409038
BG-09,492125,3237,32370,323706
BG-10,475609,4540,45408,454085
BG-11,438031,4002,40022,400225
BG-12,519018,4677,46771,467710
BG-13,1055617,4772,47727,477274
BG-14,433205,3979,39790,397906
BG-15,1193363,5605,56055,560553
BG-16,3147350,4930,49309,493090
BG-17,408378,4163,41635,416359
BG-18,854894,4639,46398,463983
BG-19,347797,3765,37654,376546
BG-20,693163,4119,41194,411942
BG-21,429572,4836,48366,483665
BG-22,5997952,4600,46003,460031
BG-23,849584,3810,38107,381071
BG-24,1297150,4524,45240,452406
BG-25,387904,4142,41428,414281
BG-26,731681,3556,35569,355699
BG-27,600898,4043,40437,404370
BG-28,449523,4298,42987,429873
