medical_specialization,number_of_examinations
Обща медицина / General medicine,15948436
Кардиология / Cardiology,1502699
Педиатрия / Paediatrics,1075158
Акушерство и гинекология / Obstetrics and gynaecology,1070506
Очни болести / Ophthalmology,992835
Нервни болести / Neurology ,878614
Ендокринология и болести на обмяната / Endocrinology and metabolic diseases,839162
Ортопедия и травматология / Orthopaedics and traumatology,741834
Няма специалност / No specialty,740127
Физикална и рехабилитационна медицина / Physical and rehabilitation medicine,725025
Ушно-носно-гърлени болести / Otorhinolaryngology,547912
Хирургия / Surgery,498924
Кожни и венерически болести / Dermatology and venereology,461333
Гастроентерология / Gastroenterology,364084
Вътрешни болести / Internal diseases,313413
Урология / Urology,312975
Медицинска онкология / Medical oncology,283668
Пневмология и фтизиатрия / Pneumology and phthisiatry,282006
Психиатрия / Psychiatry,214079
Нефрология / Nephrology,181283
Ревматология / Rheumatology,155489
Съдова хирургия / Vascular surgery,128358
Клинична хематология / Clinical haematology,82388
Клинична алергология / Clinical allergology,70034
Анестезиология и интензивно лечение / Anaesthesiology and intensive care,48938
Неврохирургия / Neurosurgery,43422
Детска пневмология и фтизиатрия / Paediatric pneumology and phthysiatry ,39451
Инфекциозни болести / Infectious diseases,25528
Лъчелечение / Radiotherapy,25468
Детска ендокринология и болести на обмяната / Paediatric endocrinology and metabolic diseases,23573
Детска кардиология / Paediatric cardiology,22420
Ангиология / Angiology,20076
Детска нефрология и хемодиализа / Paediatric nephrology and haemodyalisis,18553
Детска неврология / Paediatric neurology,16887
Детска хирургия / Paediatric surgery,15593
Неонатология / Neonatology,14576
Детска гастроентерология / Paediatric gastroenterology,14318
Спешна медицина / Emergency medicine,10231
Гръдна хирургия / Thoracic surgery,9642
Образна диагностика / Image diagnostics,8946
Клинична токсикология / Clinical toxicology,8761
Детска психиатрия / Child psychiatry,7336
Орална хирургия / Oral surgery,6555
Лицево-челюстна хирургия / Maxillo-facial surgery,6285
Нуклеарна медицина / Nuclear medicine,5036
Детска клинична хематология и онкология / Paediatric clinical haematology and oncology,4636
Пластично-възстановителна и естетична хирургия / Plastic-reconstructive and aesthetic surgery,4548
Детска ревматология / Paediatric reumatology,2745
Клинична имунология / Clinical immunology,1817
Спортна медицина / Sports medicine,1491
Кардиохирургия / Cardiosurgery,1184
Клинична микробиология / Clinical microbiology,1128
Хранене и диететика / Nutrition and dietetics,593
Медицинска паразитология / Medical parasitology,506
Детска клинична алергология / Clinical Allergology and Pediatrics,465
Обща дентална медицина / General dental medicine,333
Клинична лаборатория / Clinical laboratory,235
Трансфузионна хематология / Transfusion haematology,172
Медицинска генетика / Medical genetics,170
Социална медицина и здравен мениджмънт / Social medicine and healthcare management,85
Клинична вирусология / Clinical virology,65
Професионални болести / Professional diseases,51
Обща и клинична патология / General and clinical pathology,32
"Дентална, орална и лицево-челюстна хирургия / Dental, oral and maxillo-facial surgery",9
Съдебна медицина и деонтология / Forensic medicine and deontology,8
Фармакология / Pharmacology,3
