month,prescription_type,prescription_count
Ян. / Jan,"Рецепта - тройна реимбурсирана / Prescription - Reimbursed, Tripple",1153613
Ян. / Jan,Рецепта - реимбурсирана / Prescription - Reimbursed,752371
Ян. / Jan,Рецепта - онколекарства / Prescription - Oncology Treatment,7
Ян. / Jan,Рецепта - обикновена (бяла) / Prescription - Standard,580686
Ян. / Jan,Рецепта - зелена / Prescription - Drugs with Narcotic Substances,68587
Ян. / Jan,Рецепта за военноивалиди / Prescription for Disabled Solders,77
Ян. / Jan,Рецепта за ветерани / Prescription for Veterans,5
Ян. / Jan,Рецепта - жълта / Prescription - Narcotic Substances,2823
Февр. / Feb,"Рецепта - тройна реимбурсирана / Prescription - Reimbursed, Tripple",1062105
Февр. / Feb,Рецепта - реимбурсирана / Prescription - Reimbursed,729094
Февр. / Feb,Рецепта - онколекарства / Prescription - Oncology Treatment,7
Февр. / Feb,Рецепта - обикновена (бяла) / Prescription - Standard,480463
Февр. / Feb,Рецепта - зелена / Prescription - Drugs with Narcotic Substances,63787
Февр. / Feb,Рецепта за военноивалиди / Prescription for Disabled Solders,69
Февр. / Feb,Рецепта за ветерани / Prescription for Veterans,5
Февр. / Feb,Рецепта - жълта / Prescription - Narcotic Substances,2928
Март / Mar,"Рецепта - тройна реимбурсирана / Prescription - Reimbursed, Tripple",1087803
Март / Mar,Рецепта - реимбурсирана / Prescription - Reimbursed,776360
Март / Mar,Рецепта - онколекарства / Prescription - Oncology Treatment,8
Март / Mar,Рецепта - обикновена (бяла) / Prescription - Standard,574334
Март / Mar,Рецепта - зелена / Prescription - Drugs with Narcotic Substances,68017
Март / Mar,Рецепта за военноивалиди / Prescription for Disabled Solders,72
Март / Mar,Рецепта - жълта / Prescription - Narcotic Substances,3138
Апр. / Apr,"Рецепта - тройна реимбурсирана / Prescription - Reimbursed, Tripple",1205977
Апр. / Apr,Рецепта - реимбурсирана / Prescription - Reimbursed,785114
Апр. / Apr,Рецепта - онколекарства / Prescription - Oncology Treatment,9
Апр. / Apr,Рецепта - обикновена (бяла) / Prescription - Standard,530404
Апр. / Apr,Рецепта - зелена / Prescription - Drugs with Narcotic Substances,68069
Апр. / Apr,Рецепта за военноивалиди / Prescription for Disabled Solders,70
Апр. / Apr,Рецепта за ветерани / Prescription for Veterans,2
Апр. / Apr,Рецепта - жълта / Prescription - Narcotic Substances,3170
Май / May,"Рецепта - тройна реимбурсирана / Prescription - Reimbursed, Tripple",1067766
Май / May,Рецепта - реимбурсирана / Prescription - Reimbursed,735736
Май / May,Рецепта - онколекарства / Prescription - Oncology Treatment,9
Май / May,Рецепта - обикновена (бяла) / Prescription - Standard,461701
Май / May,Рецепта - зелена / Prescription - Drugs with Narcotic Substances,62256
Май / May,Рецепта за военноивалиди / Prescription for Disabled Solders,69
Май / May,Рецепта - жълта / Prescription - Narcotic Substances,2944
Юни / June,"Рецепта - тройна реимбурсирана / Prescription - Reimbursed, Tripple",1118190
Юни / June,Рецепта - реимбурсирана / Prescription - Reimbursed,765418
Юни / June,Рецепта - онколекарства / Prescription - Oncology Treatment,7
Юни / June,Рецепта - обикновена (бяла) / Prescription - Standard,453929
Юни / June,Рецепта - зелена / Prescription - Drugs with Narcotic Substances,67736
Юни / June,Рецепта за военноивалиди / Prescription for Disabled Solders,67
Юни / June,Рецепта за ветерани / Prescription for Veterans,3
Юни / June,Рецепта - жълта / Prescription - Narcotic Substances,3024
Юли / July,"Рецепта - тройна реимбурсирана / Prescription - Reimbursed, Tripple",832173
Юли / July,Рецепта - реимбурсирана / Prescription - Reimbursed,527079
Юли / July,Рецепта - онколекарства / Prescription - Oncology Treatment,8
Юли / July,Рецепта - обикновена (бяла) / Prescription - Standard,265038
Юли / July,Рецепта - зелена / Prescription - Drugs with Narcotic Substances,44746
Юли / July,Рецепта за военноивалиди / Prescription for Disabled Solders,52
Юли / July,Рецепта - жълта / Prescription - Narcotic Substances,1861
